"File","Operation","Tables","Columns","PrimaryTable","AliasedColumns","Sql"
"C:\GitHub\YASGMP\YASGMP\Diagnostics\LogSinks\SQLiteLogSink.cs","INSERT","logs","cat;evt;json;lvl;msg;ts_utc","logs",,"INSERT INTO logs(ts_utc, lvl, cat, evt, msg, json) VALUES ($ts, $lvl, $cat, $evt, $msg, $json)"
"C:\GitHub\YASGMP\YASGMP\Diagnostics\SelfTestRunner.cs","SELECT","information_schema","event_object_table;trigger_name","information_schema","System.Collections.Hashtable","SELECT TRIGGER_NAME, EVENT_OBJECT_TABLE FROM information_schema.TRIGGERS WHERE TRIGGER_SCHEMA = DATABASE()"
"C:\GitHub\YASGMP\YASGMP\Diagnostics\SelfTestRunner.cs","SELECT","information_schema","table_name","information_schema","System.Collections.Hashtable","SELECT TABLE_NAME FROM information_schema.TABLES WHERE TABLE_SCHEMA = DATABASE() AND TABLE_NAME LIKE '%audit%'"
"C:\GitHub\YASGMP\YASGMP\Diagnostics\SelfTestRunner.cs","SELECT","permissions","count(*)","permissions","System.Collections.Hashtable","SELECT COUNT(*) FROM permissions WHERE code='Diagnostics.View'"
"C:\GitHub\YASGMP\YASGMP\Diagnostics\SelfTestRunner.cs","SELECT","information_schema","engine;table_name;table_rows","information_schema","System.Collections.Hashtable","SELECT TABLE_NAME, ENGINE, TABLE_ROWS FROM information_schema.TABLES WHERE TABLE_SCHEMA = DATABASE() ORDER BY TABLE_NAME"
"C:\GitHub\YASGMP\YASGMP\Diagnostics\SelfTestRunner.cs","SELECT","information_schema","action_timing;event_manipulation;event_object_table;trigger_name","information_schema","System.Collections.Hashtable","SELECT TRIGGER_NAME, EVENT_OBJECT_TABLE, ACTION_TIMING, EVENT_MANIPULATION FROM information_schema.TRIGGERS WHERE TRIGGER_SCHEMA = DATABASE() ORDER BY TRIGGER_NAME"
"C:\GitHub\YASGMP\YASGMP\Services\AuditService.cs","INSERT","entity_audit_log","action;details;device_info;entity;entity_id;session_id;source_ip;timestamp;user_id","entity_audit_log",,"INSERT INTO entity_audit_log (`timestamp`, user_id, source_ip, device_info, session_id, `entity`, entity_id, `action`, `details`) VALUES (NOW(), @uid, @ip, @device, @sid, @entity, @eid, @action, @details);"
"C:\GitHub\YASGMP\YASGMP\Services\AuditService.cs","INSERT","export_audit_log","device_info;export_type;file_path;filter_criteria;source_ip;timestamp;user_id","export_audit_log",,"INSERT INTO export_audit_log (`timestamp`, user_id, source_ip, device_info, export_type, file_path, filter_criteria) VALUES (NOW(), @uid, @ip, @device, @etype, @file, @filter);"
"C:\GitHub\YASGMP\YASGMP\Services\AuditService.cs","SELECT","system_event_log;users","description;device_info;event_time;event_type;id;record_id;session_id;source_ip;table_name;user_id;username","system_event_log","System.Collections.Hashtable","SELECT s.id, s.table_name AS Entity, s.record_id AS EntityId, s.event_type AS Action, s.event_time AS Timestamp, s.user_id AS UserId, u.username AS Username, s.source_ip AS IpAddress, s.device_info AS DeviceInfo, s.session_id AS SessionId, s.description AS Note FROM system_event_log s LEFT JOIN users u ON u.id = s.user_id WHERE s.event_time BETWEEN @from AND @to"
"C:\GitHub\YASGMP\YASGMP\Services\AuditService.cs","SELECT","information_schema","count(*)","information_schema","System.Collections.Hashtable","SELECT COUNT(*) FROM information_schema.TABLES WHERE TABLE_SCHEMA = DATABASE() AND TABLE_NAME=@t;"
"C:\GitHub\YASGMP\YASGMP\Services\AuditService.cs","SELECT","information_schema","count(*)","information_schema","System.Collections.Hashtable","SELECT COUNT(*) FROM information_schema.COLUMNS WHERE TABLE_SCHEMA = DATABASE() AND TABLE_NAME=@t AND COLUMN_NAME=@c;"
"C:\GitHub\YASGMP\YASGMP\Services\AuditService.cs","INSERT","entity_audit_log","action;details;device_info;entity;entity_id;session_id;source_ip;timestamp;user_id","entity_audit_log",,"INSERT INTO entity_audit_log (`timestamp`, user_id, source_ip, device_info, session_id, `entity`, entity_id, `action`, `details`) VALUES (NOW(), @uid, @ip, @device, @sid, @entity, @eid, @action, @details);"
"C:\GitHub\YASGMP\YASGMP\Services\AuditService.cs","INSERT","export_audit_log","device_info;export_type;file_path;filter_criteria;source_ip;timestamp;user_id","export_audit_log",,"INSERT INTO export_audit_log (`timestamp`, user_id, source_ip, device_info, export_type, file_path, filter_criteria) VALUES (NOW(), @uid, @ip, @device, @etype, @file, @filter);"
"C:\GitHub\YASGMP\YASGMP\Services\AuditService.cs","SELECT","system_event_log;users","description;device_info;event_time;event_type;id;record_id;session_id;source_ip;table_name;user_id;username","system_event_log","System.Collections.Hashtable","SELECT s.id, s.table_name AS Entity, s.record_id AS EntityId, s.event_type AS Action, s.event_time AS Timestamp, s.user_id AS UserId, u.username AS Username, s.source_ip AS IpAddress, s.device_info AS DeviceInfo, s.session_id AS SessionId, s.description AS Note FROM system_event_log s LEFT JOIN users u ON u.id = s.user_id WHERE s.event_time BETWEEN @from AND @to"
"C:\GitHub\YASGMP\YASGMP\Services\AuditService.cs","SELECT","information_schema","count(*)","information_schema","System.Collections.Hashtable","SELECT COUNT(*) FROM information_schema.TABLES WHERE TABLE_SCHEMA = DATABASE() AND TABLE_NAME=@t;"
"C:\GitHub\YASGMP\YASGMP\Services\AuditService.cs","SELECT","information_schema","count(*)","information_schema","System.Collections.Hashtable","SELECT COUNT(*) FROM information_schema.COLUMNS WHERE TABLE_SCHEMA = DATABASE() AND TABLE_NAME=@t AND COLUMN_NAME=@c;"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.Assets.Extensions.cs","INSERT","machines","code;description;digital_signature;install_date;location;manufacturer;model;name;procurement_date;purchase_date;status;urs_doc","machines",,"INSERT INTO machines (code, name, description, model, manufacturer, location, install_date, procurement_date, purchase_date, status, urs_doc, digital_signature) VALUES (@code,@name,@desc,@model,@mf,@loc,@inst,@proc,@purch,@status,@urs,@sig)"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.Assets.Extensions.cs","UPDATE","machines","code;description;digital_signature;location;manufacturer;model;name;status;urs_doc","machines",,"UPDATE machines SET code=@code, name=@name, description=@desc, model=@model, manufacturer=@mf, location=@loc, status=@status, urs_doc=@urs, digital_signature=@sig WHERE id=@id"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.Assets.Extensions.cs","SELECT","machines","*","machines","System.Collections.Hashtable","SELECT * FROM machines ORDER BY name, id"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.Assets.Extensions.cs","INSERT","machines","code;description;digital_signature;install_date;location;manufacturer;model;name;procurement_date;purchase_date;status;urs_doc","machines",,"INSERT INTO machines (code, name, description, model, manufacturer, location, install_date, procurement_date, purchase_date, status, urs_doc, digital_signature) VALUES (@code,@name,@desc,@model,@mf,@loc,@inst,@proc,@purch,@status,@urs,@sig)"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.Assets.Extensions.cs","UPDATE","machines","code;description;digital_signature;location;manufacturer;model;name;status;urs_doc","machines",,"UPDATE machines SET code=@code, name=@name, description=@desc, model=@model, manufacturer=@mf, location=@loc, status=@status, urs_doc=@urs, digital_signature=@sig WHERE id=@id"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.Assets.Extensions.cs","DELETE","machines","","machines",,"DELETE FROM machines WHERE id=@id"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.Attachments.Extensions.cs","INSERT","attachments","created_at;entity_id;entity_type;file_name;file_path;uploaded_by","attachments",,"INSERT INTO attachments (file_name, file_path, entity_type, entity_id, uploaded_by, created_at) VALUES (@name,@path,@ent,@eid,@uid,NOW())"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.Attachments.Extensions.cs","SELECT","attachments","*","attachments","System.Collections.Hashtable","SELECT * FROM attachments WHERE 1=1"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.Attachments.Extensions.cs","INSERT","attachments","created_at;entity_id;entity_type;file_name;file_path;uploaded_by","attachments",,"INSERT INTO attachments (file_name, file_path, entity_type, entity_id, uploaded_by, created_at) VALUES (@name,@path,@ent,@eid,@uid,NOW())"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.Attachments.Extensions.cs","DELETE","attachments","","attachments",,"DELETE FROM attachments WHERE id=@id"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.Audit.QueryExtensions.cs","SELECT","system_event_log","description;device_info;event_type;field_name;id;new_value;old_value;record_id;related_module;session_id;severity;source_ip;table_name;ts_utc;user_id","system_event_log","System.Collections.Hashtable","SELECT id, ts_utc, user_id, event_type, table_name, related_module, record_id, field_name, old_value, new_value, description, source_ip, device_info, session_id, severity FROM system_event_log WHERE table_name=@t AND record_id=@id ORDER BY ts_utc DESC, id DESC"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.Audit.QueryExtensions.cs","SELECT","system_event_log","description;device_info;event_type;field_name;id;new_value;old_value;record_id;related_module;session_id;severity;source_ip;table_name;ts_utc;user_id","system_event_log","System.Collections.Hashtable","SELECT id, ts_utc, user_id, event_type, table_name, related_module, record_id, field_name, old_value, new_value, description, source_ip, device_info, session_id, severity FROM system_event_log WHERE table_name=@t AND record_id=@id ORDER BY ts_utc DESC, id DESC"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.Calibrations.Extensions.cs","SELECT","calibrations","*","calibrations","System.Collections.Hashtable","SELECT * FROM calibrations ORDER BY calibration_date DESC, id DESC"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.Calibrations.Extensions.cs","SELECT","calibrations","*","calibrations","System.Collections.Hashtable","SELECT * FROM calibrations WHERE id=@id LIMIT 1"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.Calibrations.Extensions.cs","SELECT","calibrations","*","calibrations","System.Collections.Hashtable","SELECT * FROM calibrations WHERE component_id=@cid ORDER BY calibration_date DESC, id DESC"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.Calibrations.Extensions.cs","SELECT","calibrations","*","calibrations","System.Collections.Hashtable","SELECT * FROM calibrations WHERE supplier_id=@sid ORDER BY calibration_date DESC, id DESC"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.Calibrations.Extensions.cs","SELECT","calibrations","*","calibrations","System.Collections.Hashtable","SELECT * FROM calibrations WHERE calibration_date BETWEEN @f AND @t ORDER BY calibration_date DESC, id DESC"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.Calibrations.Extensions.cs","INSERT","calibrations","calibration_date;cert_doc;comment;component_id;digital_signature;next_due;result;supplier_id","calibrations",,"INSERT INTO calibrations (component_id, supplier_id, calibration_date, next_due, cert_doc, result, comment, digital_signature) VALUES (@cid,@sid,@cd,@due,@doc,@res,@comm,@sig)"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.Calibrations.Extensions.cs","UPDATE","calibrations","calibration_date;cert_doc;comment;component_id;digital_signature;next_due;result;supplier_id","calibrations",,"UPDATE calibrations SET component_id=@cid, supplier_id=@sid, calibration_date=@cd, next_due=@due, cert_doc=@doc, result=@res, comment=@comm, digital_signature=@sig WHERE id=@id"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.Calibrations.Extensions.cs","SELECT","calibrations","*","calibrations","System.Collections.Hashtable","SELECT * FROM calibrations ORDER BY calibration_date DESC, id DESC"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.Calibrations.Extensions.cs","SELECT","calibrations","*","calibrations","System.Collections.Hashtable","SELECT * FROM calibrations WHERE id=@id LIMIT 1"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.Calibrations.Extensions.cs","SELECT","calibrations","*","calibrations","System.Collections.Hashtable","SELECT * FROM calibrations WHERE component_id=@cid ORDER BY calibration_date DESC, id DESC"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.Calibrations.Extensions.cs","SELECT","calibrations","*","calibrations","System.Collections.Hashtable","SELECT * FROM calibrations WHERE supplier_id=@sid ORDER BY calibration_date DESC, id DESC"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.Calibrations.Extensions.cs","SELECT","calibrations","*","calibrations","System.Collections.Hashtable","SELECT * FROM calibrations WHERE calibration_date BETWEEN @f AND @t ORDER BY calibration_date DESC, id DESC"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.Calibrations.Extensions.cs","INSERT","calibrations","calibration_date;cert_doc;comment;component_id;digital_signature;next_due;result;supplier_id","calibrations",,"INSERT INTO calibrations (component_id, supplier_id, calibration_date, next_due, cert_doc, result, comment, digital_signature) VALUES (@cid,@sid,@cd,@due,@doc,@res,@comm,@sig)"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.Calibrations.Extensions.cs","UPDATE","calibrations","calibration_date;cert_doc;comment;component_id;digital_signature;next_due;result;supplier_id","calibrations",,"UPDATE calibrations SET component_id=@cid, supplier_id=@sid, calibration_date=@cd, next_due=@due, cert_doc=@doc, result=@res, comment=@comm, digital_signature=@sig WHERE id=@id"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.Calibrations.Extensions.cs","DELETE","calibrations","","calibrations",,"DELETE FROM calibrations WHERE id=@id"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.Capa.Cases.Extensions.cs","SELECT","capa_cases","*","capa_cases","System.Collections.Hashtable","SELECT * FROM capa_cases ORDER BY id DESC"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.Capa.Cases.Extensions.cs","SELECT","capa_cases","*","capa_cases","System.Collections.Hashtable","SELECT * FROM capa_cases WHERE id=@id LIMIT 1"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.Capa.Cases.Extensions.cs","INSERT","capa_cases","actions;assigned_to_id;component_id;corrective_action;date_close;date_open;description;digital_signature;doc_file;preventive_action;priority;reason;root_cause;status;title","capa_cases",,"INSERT INTO capa_cases (title, description, component_id, date_open, date_close, assigned_to_id, priority, status, root_cause, corrective_action, preventive_action, reason, actions, doc_file, digital_signature) VALUES (@t,@d,@cid,@open,@close,@assn,@prio,@status,@rc,@corr,@prev,@reason,@acts,@doc,@sig)"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.Capa.Cases.Extensions.cs","UPDATE","capa_cases","actions;assigned_to_id;component_id;corrective_action;date_close;date_open;description;digital_signature;doc_file;preventive_action;priority;reason;root_cause;status;title","capa_cases",,"UPDATE capa_cases SET title=@t, description=@d, component_id=@cid, date_open=@open, date_close=@close, assigned_to_id=@assn, priority=@prio, status=@status, root_cause=@rc, corrective_action=@corr, preventive_action=@prev, reason=@reason, actions=@acts, doc_file=@doc, digital_signature=@sig WHERE id=@id"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.Capa.Cases.Extensions.cs","SELECT","capa_cases","*","capa_cases","System.Collections.Hashtable","SELECT * FROM capa_cases ORDER BY id DESC"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.Capa.Cases.Extensions.cs","SELECT","capa_cases","*","capa_cases","System.Collections.Hashtable","SELECT * FROM capa_cases WHERE id=@id LIMIT 1"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.Capa.Cases.Extensions.cs","INSERT","capa_cases","actions;assigned_to_id;component_id;corrective_action;date_close;date_open;description;digital_signature;doc_file;preventive_action;priority;reason;root_cause;status;title","capa_cases",,"INSERT INTO capa_cases (title, description, component_id, date_open, date_close, assigned_to_id, priority, status, root_cause, corrective_action, preventive_action, reason, actions, doc_file, digital_signature) VALUES (@t,@d,@cid,@open,@close,@assn,@prio,@status,@rc,@corr,@prev,@reason,@acts,@doc,@sig)"
