"Table","Select","Insert","Update","Delete","Columns"
"validation_audit","2","2","0","0","digital_signature;changed_at;source_ip;details;device_info;validation_id;action;user_id"
"supplier","0","0","0","1",""
"suppliers","4","4","4","2","country;id;supplier_type;name;notes;website;address;contract_file;vat_number;status;city;email;phone"
"capa_cases","4","2","2","1","assigned_to_id;priority;actions;date_close;title;reason;digital_signature;preventive_action;date_open;root_cause;description;corrective_action;status;doc_file;component_id"
"user_roles","3","4","0","3","expires_at;role_id;granted_at;granted_by;user_id"
"roles","2","2","3","0","last_modified_by_id;description;updated_at;version;compliance_tags;is_deleted;created_at;name;created_by_id;org_unit;notes"
"settings","0","0","1","1","updated_at;updated_by_id;value"
"user_window_layouts","2","2","0","0","width;height;pos_x;pos_y;page_type;saved_at;user_id"
"permission_requests","2","2","4","0","permission_id;requested_at;reviewed_by;review_comment;reviewed_at;status;reason;user_id"
"calibrations","12","4","4","2","digital_signature;last_modified_by_id;cert_doc;calibration_date;last_modified;component_id;comment;next_due;supplier_id;result"
"user_training","2","2","8","0","valid_until;training_date;notes;training_type;certificate_file;status;provider;user_id"
"notification_templates","2","0","0","0","code"
"preventive_maintenance_plans","2","2","2","1","description;frequency;name;component_id;status;code;next_due;checklist_file;machine_id"
"system_parameters","2","4","0","2","digital_signature;id;updated_at;updated_by;param_name;param_value;note"
"machines","5","6","6","3","manufacturer;description;serial_number;name;procurement_date;model;acquisition_cost;install_date;id;location;cloud_device_guid;digital_signature;iot_device_id;purchase_date;status;urs_doc;rfid_tag;code;qr_code"
"delegated_permissions","7","4","2","0","permission_id;revoked;to_user_id;from_user_id;revoked_at;expires_at;granted_by;code;reason"
"work_order_audit","0","2","0","0","action;source_ip;user_id;device_info;work_order_id;note"
"contractor_intervention_audit","2","2","0","0","intervention_id;action;source_ip;id;description;session_id;timestamp;device_info;user_id"
"permissions","16","1","0","0","code;name;id"
"supplier_audit","0","2","0","0","digital_signature;changed_at;source_ip;details;device_info;supplier_id;action;user_id"
"parts","4","4","4","2","blocked;description;rfid;name;min_stock_alert;serial_or_lot;supplier;image;stock;id;digital_signature;barcode;last_modified_by_id;category;price;default_supplier_id;status;location;regulatory_certificates;code;source_ip;last_modified"
"user_permissions","5","2","0","1","permission_id;granted_at;expires_at;allowed;code;reason;granted_by;user_id"
"entity_audit_log","0","2","0","0","action;source_ip;entity_id;details;timestamp;device_info;session_id;entity;user_id"
"user_audit","0","2","0","0","action;source_ip;description;session_id;created_at;device_info;user_id"
"users","11","2","11","2","password_reset_required;is_deleted;username;password_hash;full_name;deleted_at;last_login;is_two_factor_enabled;role;is_locked;last_failed_login;email;failed_login_attempts;active"
"attachments","1","2","0","1","uploaded_by;entity_type;entity_id;file_path;file_name;created_at"
"incident_audit","3","0","0","0",""
"work_orders","4","4","6","2","assigned_to;digital_signature;type;priority;created_by;date_close;result;related_incident;date_open;description;status;machine_id;component_id"
"risk_assessments","1","0","0","0",""
"export_print_log","0","10","0","0","table_name;note;source_ip;file_path;format;filter_used;user_id"
"documentcontrol","1","2","5","0","device_info;file_path;description;title;linked_change_controls;revision;code;status"
"permission_change_log","2","4","0","0","permission_id;action;changed_by;role_id;change_type;user_id"
"deviations","2","2","2","1","status;digital_signature;investigation_started_at;severity;assigned_investigator_name;closed_at;assigned_investigator_id;risk_score;reported_at;title;linked_capa_id;last_modified_by_id;audit_note;description;is_critical;closure_comment;source_ip;anomaly_score;root_cause;code;reported_by_id;last_modified"
"system_event_log","5","4","0","0","description;related_module;session_id;ts_utc;severity;processed;device_info;user_id;table_name;field_name;record_id;id;source_ip;old_value;event_time;event_type;new_value"
"role_permissions","4","4","0","3","permission_id;assigned_by;role_id;assigned_at;allowed;code"
"role_audit","0","2","0","0","action;source_ip;description;created_at;role_id;device_info;session_id"
"machine_components","6","4","6","2","id;type;install_date;last_modified_by_id;is_deleted;sop_doc;name;deleted_at;code;status;machine_id"
"notification_queue","2","2","0","0","recipient_user_id;id;updated_at;template_id;scheduled_at;created_at;payload;channel;status"
"digital_signatures","1","2","1","0","signed_at;table_name;note;method;ip_address;status;record_id;device_info;signature_hash;public_key;user_id"
"component_qualifications","1","2","2","1","certificate_number;component_id;qualification_date;status;supplier_id"
"export_audit_log","0","2","0","0","device_info;source_ip;filter_criteria;file_path;timestamp;export_type;user_id"
"change_controls","1","1","3","0","description;title;date_requested;code;status;requested_by_id"
"ppm_plans","2","0","0","1",""
"scheduled_jobs","1","0","0","0",""
"validations","4","2","2","2","comment;digital_signature;type;machine_id;date_end;status;component_id;documentation;code;next_due;date_start"
"external_contractors","1","2","2","1","digital_signature;code;name;registration_number;type;address;comment;status;contact_person;email;cooperation_start;cooperation_end;phone"
"deviation_audit","5","2","2","1","export_status;updated_at;ai_anomaly_score;device_info;comment;deleted_by;iot_event_id;action;export_time;approval_status;created_at;restoration_reference;digital_signature;changed_at;regulatory_status;deleted;source_ip;approval_time;new_value;old_value;approved_by;details;user_id;related_file;signature_valid;deviation_id;signature_type;session_id;validated;related_photo;deleted_at;restored_from_snapshot;exported_by"
"logs","0","1","0","0","evt;json;ts_utc;cat;msg;lvl"
"contractor_interventions","2","2","2","1","gmp_compliance;reason;component_id;result;intervention_date;contractor_id;doc_file"
"information_schema","31","0","0","0","collation;column_name;trigger_name;delete_rule;sub_part;ordinal_position;is_nullable;column_comment;routine_type;cardinality;engine;event_object_table;seq_in_index;character_maximum_length;datetime_precision;column_default;table_name;nullable;comment;table_collation;routine_name;numeric_precision;constraint_name;referenced_column_name;schema_name;non_unique;event_manipulation;extra;column_key;numeric_scale;column_type;referenced_table_name;table_rows;data_type;action_timing;update_rule;collation_name;index_type;index_name"
