"category","table","column","db_type","db_nullable","notes"
"table_missing_in_db","view","","","","Referenced by code"
"table_missing_in_db","logs","","","","Referenced by code"
"table_missing_in_db","the","","","","Referenced by code"
"table_missing_in_db","against","","","","Referenced by code"
"table_missing_in_db","notifications","","","","Referenced by code"
"table_missing_in_db","role","","","","Referenced by code"
"table_missing_in_db","audit_log","","","","Referenced by code"
"table_missing_in_db","warehouse","","","","Referenced by code"
"table_missing_in_db","incidents","","","","Referenced by code"
"table_missing_in_db","units","","","","Referenced by code"
"table_missing_in_db","is","","","","Referenced by code"
"table_missing_in_db","capa_audit_log","","","","Referenced by code"
"table_missing_in_db","any","","","","Referenced by code"
"table_missing_in_db","AND","","","","Referenced by code"
"table_missing_in_db","persistence","","","","Referenced by code"
"table_missing_in_db","INFORMATION_SCHEMA","","","","Referenced by code"
"table_unused_in_code","vw_sensor_data_enriched","","","","No references found"
"table_unused_in_code","lookup_value","","","","No references found"
"table_unused_in_code","vw_mobile_device_log_audit","","","","No references found"
"table_unused_in_code","vw_contractor_intervention_audit_audit","","","","No references found"
"table_unused_in_code","buildings","","","","No references found"
"table_unused_in_code","vw_users_audit","","","","No references found"
"table_unused_in_code","vw_work_order_audit_audit","","","","No references found"
"table_unused_in_code","component_models","","","","No references found"
"table_unused_in_code","vw_sop_document_log_audit","","","","No references found"
"table_unused_in_code","vw_forensic_user_change_log_audit","","","","No references found"
"table_unused_in_code","vw_user_permissions_audit","","","","No references found"
"table_unused_in_code","vw_component_devices_audit","","","","No references found"
"table_unused_in_code","vw_sensitive_data_access_log_audit","","","","No references found"
"table_unused_in_code","vw_calibration_audit_log_audit","","","","No references found"
"table_unused_in_code","vw_work_order_status_log_audit","","","","No references found"
"table_unused_in_code","vw_component_parts_audit","","","","No references found"
"table_unused_in_code","vw_work_orders_enriched","","","","No references found"
"table_unused_in_code","measurement_units","","","","No references found"
"table_unused_in_code","admin_activity_log","","","","No references found"
"table_unused_in_code","vw_user_roles_audit","","","","No references found"
"table_unused_in_code","vw_work_order_parts_audit","","","","No references found"
"table_unused_in_code","vw_iot_anomaly_log_audit","","","","No references found"
"table_unused_in_code","vw_sensor_types_audit","","","","No references found"
"table_unused_in_code","vw_checklist_items_audit","","","","No references found"
"table_unused_in_code","api_usage_log","","","","No references found"
"table_unused_in_code","sites","","","","No references found"
"table_unused_in_code","vw_part_supplier_prices_audit","","","","No references found"
"table_unused_in_code","v_machine_components_ui","","","","No references found"
"table_unused_in_code","vw_photos_audit","","","","No references found"
"table_unused_in_code","user_login_audit","","","","No references found"
"table_unused_in_code","vw_lookup_domain_audit","","","","No references found"
"table_unused_in_code","vw_deviation_audit_audit","","","","No references found"
"table_unused_in_code","vw_attachments_audit","","","","No references found"
"table_unused_in_code","work_order_status_log","","","","No references found"
"table_unused_in_code","vw_iot_event_audit_audit","","","","No references found"
"table_unused_in_code","work_order_comments","","","","No references found"
"table_unused_in_code","capa_status_history","","","","No references found"
"table_unused_in_code","vw_machine_lifecycle_event_audit","","","","No references found"
"table_unused_in_code","vw_inspections_audit","","","","No references found"
"table_unused_in_code","vw_schema_migration_log_audit","","","","No references found"
"table_unused_in_code","v_suppliers_ui","","","","No references found"
"table_unused_in_code","job_titles","","","","No references found"
"table_unused_in_code","iot_event_audit","","","","No references found"
