"Table","Status","MissingColumns","ExtraColumns","UsedColumnsCount"
"validation_audit","EXISTS","","id","8"
"supplier","EXISTS","","id","0"
"suppliers","EXISTS","","comment;valid_until;risk_score;contact;created_at;oib;contract_start;digital_signature;last_audit;status_id;type_id;code;contract_end;type;updated_at;cert_doc","13"
"capa_cases","EXISTS","","machine_component;last_modified_by_id;status_id;approved;id;created_at;user;is_deleted;approved_at;change_version;linked_findings;comments;source_ip;last_modified;updated_at;root_cause_reference;notes;approved_by_id","15"
"user_roles","EXISTS","","assigned_by;digital_signature;reason;updated_at;created_at;note;assigned_by_id;user;session_id;source_ip;assigned_at;is_active;change_version;role","5"
"roles","EXISTS","","icollection<role_permission>;icollection<user>;icollection<permission>;id;user?","11"
"settings","EXISTS","","id","3"
"user_window_layouts","EXISTS","","id;created_at;updated_at","7"
"permission_requests","EXISTS","","id;created_at;updated_at","8"
"calibrations","EXISTS","","updated_at;next_calibration_id;approved_at;result_id;created_at;approved_by_id;approved;user?;is_deleted;supplier?;machine_component;calibration?;change_version;id;previous_calibration_id;source_ip","10"
"user_training","EXISTS","","id;created_at;updated_at","8"
"notification_templates","EXISTS","","id;updated_at;created_at;name;subject;body;channel","1"
"preventive_maintenance_plans","EXISTS","","linked_work_orders;checklist_template_id;responsible_user_id;anomaly_score;last_modified_by;id;previous_version;last_modified_by_id;execution_history;created_at;risk_score;version;digital_signature;is_automated;geo_location;ai_recommendation;attachments;source_ip;responsible_user;last_executed;last_modified;previous_version_id;component;updated_at;session_id;is_active_version;machine;requires_notification;note","9"
"system_parameters","EXISTS","","created_at","7"
"machines","EXISTS","","status_id;deleted_by;is_critical;lifecycle_phase;icollection<work_order>;icollection<calibration>;warranty_expiry;last_modified_by_id;icollection<inspection>;icollection<validation>;created_at;decommission_date;icollection<photo>;manufacturer_id;location_id;updated_at;machine_type_id;user?;tenant_id;is_deleted;icollection<machine_component>;icollection<machine_lifecycle_event>;icollection<capa_case>;icollection<attachment>;last_modified;icollection<quality_event>;lifecycle_phase_id;warranty_until;notes;decommission_reason;deleted_at;room_id;note","19"
"delegated_permissions","EXISTS","","approved_by;id;updated_at;created_at;is_active;is_revoked;start_at;change_version;source_ip;user?;session_id;digital_signature;permission?;end_at;note;start_time","9"
"work_order_audit","EXISTS","","changed_at;updated_at;incident_id;created_at;work_order;user;digital_signature;integrity_hash;id;session_id;capa_id;old_value;new_value","6"
"contractor_intervention_audit","EXISTS","","updated_at;changed_at;digital_signature;created_at;note;details;old_value;new_value","9"
"permissions","EXISTS","","icollection<user>;description;created_by;string;last_modified_by_id;critical;created_at;group;module;digital_signature;change_version;note;icollection<user_permission>;user?;is_deleted;permission?;icollection<delegated_permission>;parent_id;last_modified;compliance_tags;icollection<permission>;updated_at;icollection<role_permission>;icollection<role>;permission_type","3"
"supplier_audit","EXISTS","","id","8"
"parts","EXISTS","","last_modified_by;warehouse_stocks;created_at;expiry_date;change_logs;default_supplier;note;anomaly_score;documents;images;work_order_parts;warehouses;warranty_until;updated_at;supplier_prices;stock_history","22"
"user_permissions","EXISTS","","assigned_by;digital_signature;updated_at;created_at;note;user;session_id;permission;assigned_at;is_active;change_version;source_ip","8"
"entity_audit_log","EXISTS","","updated_at;id;created_at;signature_hash;digital_signature;status","9"
"user_audit","EXISTS","","details;id;updated_at","7"
"users","EXISTS","","password;icollection<delegated_permission>;updated_at;phone;department_name;is_system_account;federated_unique_id;icollection<admin_activity_log>;job_title_id;privacy_consent_version;icollection<role>;custom_attributes;preferred_culture;last_modified_by_id;external_provider_type;created_at;public_key;id;last_change_signature;icollection<photo>;digital_signature;notification_channel;change_version;global_federated_id;icollection<work_order>;icollection<session_log>;role_id;icollection<attachment>;icollection<digital_signature>;last_modified;security_anomaly_score;department_id;icollection<permission>;privacy_consent_date;icollection<audit_log>;user?;external_provider_id;tenant_id","14"
"attachments","EXISTS","","file_size;device_info;related_id;uploaded_by_id;expiry_date;is_deleted;approved_at;digital_signature;change_version;chain_id;uploaded_at;ip_address;status;id;version_uid;file_type;file_content;related_table;approved_by_id;file_hash;ai_score;updated_at;session_id;ocr_text;user?;is_approved;notes;name;note","6"
"incident_audit","EXISTS","","id","0"
"work_orders","EXISTS","","capa_case?;machine?;assigned_to_id;status_id;priority_id;photo_after_ids;next_due;capa_case_id;device_info;last_modified_by_id;incident?;created_at;machine_component?;icollection<work_order_status_log>;created_by_id;icollection<photo>;closed_at;incident_id;title;type_id;entry_hash;icollection<work_order_comment>;source_ip;external_ref;id;photo_before_ids;last_modified;requested_by_id;document_path;anomaly_score;icollection<work_order_signature>;notes;updated_at;session_id;user?;due_date;audit_flag;icollection<work_order_audit>;tenant_id;icollection<work_order_part>;task_description","13"
"risk_assessments","EXISTS","","id","0"
"export_print_log","EXISTS","","updated_at;created_at;export_time;details;id;timestamp","7"
"documentcontrol","EXISTS","","id","8"
"permission_change_log","EXISTS","","updated_at;id;reason;session_id;details;created_at;change_time;expires_at;source_ip","6"
"deviations","EXISTS","","capa_case?;updated_at;created_at;user;attachments;audit_trail;id;corrective_actions;string>;attachment_ids;user?","22"
"system_event_log","EXISTS","","timestamp;username;action;mac_address;created_at;related_case_id;geo_location;is_deleted;digital_signature;anomaly_score;regulator;change_version;details;entry_hash;updated_at;user;related_case_type","17"
"role_permissions","EXISTS","","digital_signature;updated_at;note;assigned_by_id;created_at;user?;role?;reason;session_id;source_ip;change_version;is_active;expires_at;permission?","6"
"role_audit","EXISTS","","details;id;updated_at","7"
"machine_components","EXISTS","","supplier;purchase_date;machine?;status_id;io_tdevice_id;deleted_by;model;lifecycle_phase;created_at;description;warranty_expiry;is_critical;icollection<photo>;icollection<calibration>;digital_signature;change_version;icollection<work_order>;source_ip;documents;component_type_id;last_modified;serial_number;icollection<capa_case>;warranty_until;updated_at;rfid_tag;user?;notes;note","11"
"notification_queue","EXISTS","","sent_at;last_error","9"
"digital_signatures","EXISTS","","updated_at;created_at;id","11"
"component_qualifications","EXISTS","","id;type;signed_by;updated_at;created_at;next_due;doc_file","5"
"export_audit_log","EXISTS","","id","7"
"change_controls","EXISTS","","id","6"
"ppm_plans","EXISTS","","effective_to;id;effective_from;created_at;last_modified;plan_json;status;updated_at;title;machine_id","0"
"scheduled_jobs","EXISTS","","device_info;created_by;last_modified_by;is_critical;escalation_level;id;job_type;last_result;last_executed;created_at;next_due;acknowledged_at;digital_signature;comment;entity_id;alert_on_failure;extra_params;ip_address;last_error;recurrence_pattern;retries;needs_acknowledgment;status;cron_expression;last_modified;max_retries;iot_device_id;updated_at;session_id;entity_type;acknowledged_by;name;chain_job_id;last_modified_at;escalation_note","0"
"validations","EXISTS","","capa_case?;validation_date;last_modified_by_id;machine?;linked_capa_id;signed_by_id;doc_file;created_at;machine_component?;signed_by_name;signed_by;workflow_status;anomaly_score;regulator;source_ip;additional_signers;created_by_id;id;last_modified;entry_hash;updated_at;session_id;user?;signature_timestamp","11"
"external_contractors","EXISTS","","blacklist_reason;supplier?;updated_at;is_blacklisted;service_type;contact;doc_file;created_at;risk_score;attachments;company_name;audit_logs;id;interventions;supplier_id;certificates;note","13"
"deviation_audit","EXISTS","","signature_method;id;audit_trail_id","33"
"logs","MISSING_TABLE","evt;json;ts_utc;cat;msg;lvl","","6"
"contractor_interventions","EXISTS","","digital_signature;id;updated_at;start_date;created_at;status;is_deleted;notes;user;comments;last_modified_by_id;change_version;source_ip;end_date;component;last_modified","7"
